window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
239,119,1,576,128,8,2,1,275,1935352,1940359,12,0,0
240,120,0,576,128,8,2,1,255,1940360,1950183,12,0,0
241,120,1,576,128,8,2,1,255,1950184,1954871,12,0,0
242,121,0,576,128,8,2,1,269,1954872,1964695,12,0,0
243,121,1,576,128,8,2,1,269,1964696,1969607,12,0,0
244,122,0,576,128,8,2,1,267,1969608,1979431,12,0,0
245,122,1,576,128,8,2,1,267,1979432,1984311,12,0,0
246,123,0,576,128,8,2,1,239,1984312,1994135,12,0,0
247,123,1,576,128,8,2,1,239,1994136,1998567,12,0,0
248,124,0,576,128,8,2,1,256,1998568,2008391,12,0,0
249,124,1,576,128,8,2,1,256,2008392,2013095,12,0,0
250,125,0,576,128,8,2,1,276,2013096,2022919,12,0,0
251,125,1,576,128,8,2,1,276,2022920,2027943,12,0,0
252,126,0,576,128,8,2,1,258,2027944,2037767,12,0,0
253,126,1,576,128,8,2,1,258,2037768,2042503,12,0,0
254,127,0,576,128,8,2,1,289,2042504,2052327,12,0,0
255,127,1,576,128,8,2,1,289,2052328,2057559,12,0,0
256,128,0,576,128,8,2,1,363,2057560,2067383,12,0,0
257,128,1,576,128,8,2,1,363,2067384,2073799,12,0,0
258,129,0,576,128,8,2,1,264,2073800,2083623,12,0,0
259,129,1,576,128,8,2,1,264,2083624,2088455,12,0,0
260,130,0,576,128,8,2,1,365,2088456,2098279,12,0,0
261,130,1,576,128,8,2,1,365,2098280,2104727,12,0,0
262,131,0,576,128,8,2,1,281,2104728,2114551,12,0,0
263,131,1,576,128,8,2,1,281,2114552,2119655,12,0,0
264,132,0,576,128,8,2,1,350,2119656,2129479,12,0,0
265,132,1,576,128,8,2,1,350,2129480,2135687,12,0,0
266,133,0,576,128,8,2,1,367,2135688,2145511,12,0,0
267,133,1,576,128,8,2,1,367,2145512,2151991,12,0,0
268,134,0,576,128,8,2,1,312,2151992,2161815,12,0,0
269,134,1,576,128,8,2,1,312,2161816,2167415,12,0,0
270,135,0,576,128,8,2,1,289,2167416,2177239,12,0,0
271,135,1,576,128,8,2,1,289,2177240,2182471,12,0,0
272,136,0,576,128,8,2,1,308,2182472,2192295,12,0,0
273,136,1,576,128,8,2,1,308,2192296,2197831,12,0,0
274,137,0,576,128,8,2,1,328,2197832,2207655,12,0,0
275,137,1,576,128,8,2,1,328,2207656,2213511,12,0,0
276,138,0,576,128,8,2,1,329,2213512,2223335,12,0,0
277,138,1,576,128,8,2,1,329,2223336,2229207,12,0,0
278,139,0,576,128,8,2,1,227,2229208,2239031,12,0,0
279,139,1,576,128,8,2,1,227,2239032,2243271,12,0,0
280,140,0,576,128,8,2,1,321,2243272,2253095,12,0,0
281,140,1,576,128,8,2,1,321,2253096,2258839,12,0,0
282,141,0,576,128,8,2,1,326,2258840,2268663,12,0,0
283,141,1,576,128,8,2,1,326,2268664,2274487,12,0,0
284,142,0,576,128,8,2,1,319,2274488,2284311,12,0,0
285,142,1,576,128,8,2,1,319,2284312,2290023,12,0,0
286,143,0,576,128,8,2,1,301,2290024,2299847,12,0,0
287,143,1,576,128,8,2,1,301,2299848,2305271,12,0,0
288,144,0,576,128,8,2,1,184,2305272,2315095,12,0,0
289,144,1,576,128,8,2,1,184,2315096,2318647,12,0,0
290,145,0,576,128,8,2,1,302,2318648,2328471,12,0,0
291,145,1,576,128,8,2,1,302,2328472,2333911,12,0,0
292,146,0,576,128,8,2,1,314,2333912,2343735,12,0,0
293,146,1,576,128,8,2,1,314,2343736,2349367,12,0,0
294,147,0,576,128,8,2,1,311,2349368,2359191,12,0,0
295,147,1,576,128,8,2,1,311,2359192,2364775,12,0,0
296,148,0,576,128,8,2,1,301,2364776,2374599,12,0,0
297,148,1,576,128,8,2,1,301,2374600,2380023,12,0,0
298,149,0,576,128,8,2,1,301,2380024,2389847,12,0,0
299,149,1,576,128,8,2,1,301,2389848,2395271,12,0,0
300,150,0,576,128,8,2,1,316,2395272,2405095,12,0,0
301,150,1,576,128,8,2,1,316,2405096,2410759,12,0,0
302,151,0,576,128,8,2,1,206,2410760,2420583,12,0,0
303,151,1,576,128,8,2,1,206,2420584,2424487,12,0,0
304,152,0,576,128,8,2,1,304,2424488,2434311,12,0,0
305,152,1,576,128,8,2,1,304,2434312,2439783,12,0,0
306,153,0,576,128,8,2,1,330,2439784,2449607,12,0,0
307,153,1,576,128,8,2,1,330,2449608,2455495,12,0,0
308,154,0,576,128,8,2,1,319,2455496,2465319,12,0,0
309,154,1,576,128,8,2,1,319,2465320,2471031,12,0,0
310,155,0,576,128,8,2,1,268,2471032,2480855,12,0,0
311,155,1,576,128,8,2,1,268,2480856,2485751,12,0,0
312,156,0,576,128,8,2,1,296,2485752,2495575,12,0,0
313,156,1,576,128,8,2,1,296,2495576,2500919,12,0,0
314,157,0,576,128,8,2,1,281,2500920,2510743,12,0,0
315,157,1,576,128,8,2,1,281,2510744,2515847,12,0,0
316,158,0,576,128,8,2,1,291,2515848,2525671,12,0,0
317,158,1,576,128,8,2,1,291,2525672,2530935,12,0,0
318,159,0,576,128,8,2,1,310,2530936,2540759,12,0,0
319,159,1,576,128,8,2,1,310,2540760,2546327,12,0,0
320,160,0,576,128,8,2,1,341,2546328,2556151,12,0,0
321,160,1,576,128,8,2,1,341,2556152,2562215,12,0,0
322,161,0,576,128,8,2,1,275,2562216,2572039,12,0,0
323,161,1,576,128,8,2,1,275,2572040,2577047,12,0,0
324,162,0,576,128,8,2,1,313,2577048,2586871,12,0,0
325,162,1,576,128,8,2,1,313,2586872,2592487,12,0,0
326,163,0,576,128,8,2,1,320,2592488,2602311,12,0,0
327,163,1,576,128,8,2,1,320,2602312,2608039,12,0,0
328,164,0,576,128,8,2,1,269,2608040,2617863,12,0,0
329,164,1,576,128,8,2,1,269,2617864,2622775,12,0,0
330,165,0,576,128,8,2,1,284,2622776,2632599,12,0,0
331,165,1,576,128,8,2,1,284,2632600,2637751,12,0,0
332,166,0,576,128,8,2,1,286,2637752,2647575,12,0,0
333,166,1,576,128,8,2,1,286,2647576,2652759,12,0,0
334,167,0,576,128,8,2,1,257,2652760,2662583,12,0,0
335,167,1,576,128,8,2,1,257,2662584,2667303,12,0,0
336,168,0,576,128,8,2,1,269,2667304,2677127,12,0,0
337,168,1,576,128,8,2,1,269,2677128,2682039,12,0,0
338,169,0,576,128,8,2,1,270,2682040,2691863,12,0,0
339,169,1,576,128,8,2,1,270,2691864,2696791,12,0,0
340,170,0,576,128,8,2,1,268,2696792,2706615,12,0,0
341,170,1,576,128,8,2,1,268,2706616,2711511,12,0,0
342,171,0,576,128,8,2,1,301,2711512,2721335,12,0,0
343,171,1,576,128,8,2,1,301,2721336,2726759,12,0,0
344,172,0,576,128,8,2,1,229,2726760,2736583,12,0,0
345,172,1,576,128,8,2,1,229,2736584,2740855,12,0,0
