name,vector,K,COUT,P,DEPTH,N,IMPL,STALL_LEN,PATTERN,INPUT_GAPS,MODE_SEQ,RESET_TEST,T,checked_values,windows,cycle_rows,cycle_model_mismatches,total_cycles,cycles_per_window,mean_dense_latency,mean_sparse_latency
v4_evaluation_p8_d2_s0_t8,evaluation,576,128,8,2,512,3,0,0,0,2,0,8,131072,1024,1024,0,1044037,1019.5673828125,2048.83203125,2048.28125
v4_evaluation_p8_d2_s12_t4,evaluation,576,128,8,2,512,3,12,0,0,2,0,4,131072,1024,1024,0,1956560,1910.703125,3850.345703125,3851.21875
v4_gaps_pattern0,synthetic_k27_c9,27,9,4,2,32,3,12,0,1,2,1,4,576,64,64,0,2605,40.703125,89.53125,100.5
v4_gaps_pattern1,synthetic_k27_c9,27,9,4,2,32,3,12,1,1,2,1,4,576,64,64,0,2328,36.375,65.625,60.1875
v4_gaps_pattern2,synthetic_k27_c9,27,9,4,2,32,3,12,2,1,2,1,4,576,64,64,0,2497,39.015625,73.875,67.625
v4_k27_t1_p4_d3_s4,synthetic_k27_c9,27,9,4,3,32,3,4,0,0,2,0,1,576,64,64,0,4117,64.328125,132.9375,129.15625
v4_k27_t2_p4_d3_s4,synthetic_k27_c9,27,9,4,3,32,3,4,0,0,2,0,2,576,64,64,0,2382,37.21875,78.40625,71.9375
v4_k27_t4_p4_d3_s4,synthetic_k27_c9,27,9,4,3,32,3,4,0,0,2,0,4,576,64,64,0,1805,28.203125,53.5,48.75
v4_k27_t8_p4_d3_s4,synthetic_k27_c9,27,9,4,3,32,3,4,0,0,2,0,8,576,64,64,0,1805,28.203125,46.5,44.78125
v4_minimum_p1,synthetic_k1_c9,1,9,1,2,6,3,12,0,0,2,1,2,108,12,12,0,862,71.83333333333333,145.33333333333334,155.83333333333334
v4_minimum_p8,synthetic_k1_c9,1,9,8,2,6,3,12,0,0,2,1,2,108,12,12,0,478,39.833333333333336,111.66666666666667,106.0
v4_modeseq0_p4_d2,synthetic_k27_c9,27,9,4,2,32,3,0,0,0,0,0,4,288,32,32,0,921,28.78125,53.0,
v4_modeseq1_p4_d2,synthetic_k27_c9,27,9,4,2,32,3,0,0,0,1,0,4,288,32,32,0,909,28.40625,,48.0
v4_small_t1_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,3,0,0,0,2,0,1,252,28,28,0,1826,65.21428571428571,132.64285714285714,133.42857142857142
v4_small_t1_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,3,12,0,0,2,0,1,252,28,28,0,2461,87.89285714285714,177.78571428571428,184.14285714285714
v4_small_t1_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,3,0,0,0,2,0,1,252,28,28,0,1036,37.0,76.78571428571429,77.0
v4_small_t1_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,3,12,0,0,2,0,1,252,28,28,0,1391,49.67857142857143,107.07142857142857,107.07142857142857
v4_small_t1_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,3,0,0,0,2,0,1,252,28,28,0,514,18.357142857142858,39.642857142857146,41.214285714285715
v4_small_t1_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,3,12,0,0,2,0,1,252,28,28,0,1134,40.5,106.71428571428571,106.07142857142857
v4_small_t2_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,3,0,0,0,2,0,2,252,28,28,0,1108,39.57142857142857,81.35714285714286,82.14285714285714
v4_small_t2_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,3,12,0,0,2,0,2,252,28,28,0,2030,72.5,150.57142857142858,154.07142857142858
v4_small_t2_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,3,0,0,0,2,0,2,252,28,28,0,646,23.071428571428573,48.92857142857143,49.142857142857146
v4_small_t2_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,3,12,0,0,2,0,2,252,28,28,0,1135,40.535714285714285,87.92857142857143,89.92857142857143
v4_small_t2_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,3,0,0,0,2,0,2,252,28,28,0,432,15.428571428571429,36.5,37.857142857142854
v4_small_t2_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,3,12,0,0,2,0,2,252,28,28,0,1134,40.5,114.14285714285714,107.92857142857143
